id_cidade;bairro
1;Centro 
1;Liberdade 
1;Cidade Alta 
1;Santa Felicidade 
1;Princesa Isabel 
1;Redondo 
1;Tucanos 
4;Centro 
4;Jardim Clodoaldo 
4;Princesa Isabel 
4;Liberdade 
4;Novo Horizonte 
4;Novo Cacoal 
4;Residencial Parque Brizon 
4;Vilage do Sol 
4;Saúde 
4;Teixeirão 
4;Floresta 
4;INCRA 
4;Santo Antônio 
4;Industrial 
4;Parque Industrial Governador Jerônimo Santana 
4;Jardim Bandeirantes 
4;Jardim Vista Alegre 
4;Conjunto Haley 
4;Conjunto Habitacional Nova Esperança 
4;Sociedade Bela Vista 
6;Centro 
6;Cruzeiro 
6;Jorge Teixeira 
6;Jo Sato 
6;Minas Gerais 
6;Santa Luzia 
6;Odilon Noia 
6;São José 
6;Mato Grosso 
6;Industrial 
9;Centro 
9;São José 
9;Morada do Sol 
9;Caixa D'água 
9;Liberdade 
9;Jorge Teixeira de Oliveira 
9;Vista Alegre 
9;Novo Horizonte 
9;Cidade Alta 
15;União 
15;Bela Floresta 
15;Jardim Bandeirante 
15;Nova Ouro Preto 
15;Jardim Novo Horizonte 
15;Jardim Novo Estado 
15;Da Liberdade 
15;Alvorada 
15;Industrial 
15;Jardim Tropical 
15;Do Incra 
15;Jardim Aeroporto 
17;Juscelino Kubitschek 
17;Flodoaldo Pontes Pinto 
17;Tiradentes 
17;Industrial 
17;Nova Porto Velho 
17;Roque 
17;Liberdade 
17;São João Bosco 
17;São Cristóvão 
17;Nossa Senhora das Graças 
17;Mato Grosso 
17;Tucumanzal 
17;Olaria 
17;Agricolândia 
17;Centro 
17;Caiari 
17;Santa Bárbara 
17;Mocambo 
17;Baixa União 
17;Quilômetro Um 
17;Areal 
17;Triângulo 
17;Militar 
17;Floresta 
17;Panair 
17;Pedrinhas 
17;Embratel 
17;Tancredo Neves 
17;Tupi 
17;Costa e Silva 
17;São Sebastião 
17;Nacional 
17;Lagoa 
17;Agenor M. de Carvalho 
17;Rio Madeira 
17;Eldorado 
17;Aeroclube 
17;Cohab 
17;Castanheira 
17;Caladinho 
17;Nova Floresta 
17;Cidade do Lobo 
17;Eletronorte 
17;Novo Horizonte 
17;Areia Branca 
17;Cascalheira 
17;Escola de Polícia 
17;Teixeirão 
17;Planalto 
17;Lagoinha 
17;Três Marias 
17;Cuniã 
17;Igarapé 
17;Aponiã 
17;Conceição 
20;Centenário 
20;Jardim Tropical 
20;São Cristóvão 
20;Beira Rio 
20;Olímpico 
20;Boa Esperança 
20;Cidade Alta 
20;Bairro Industrial 
20;Planalto 
20;Nova Morada 
20;Centro 
20;Mutirão 
22;Jardim Eldorado 
22;Parque São Paulo 
22;Jardim América 
22;Alto Alegre 
22;Marcos Freire 
22;Tancredo Neves 
22;Nova Esperança 
23;Centro 
23;Novo Oriente 
23;Cristo Rei 
23;Planalto 
24;Centro 
24;São José 
24;Santa Luzia 
24;Planalto 
24;Nossa Senhora de Fátima 
24;Cidade Nova 
24;João Clímaco 
47;Centro 
47;Cristo Rei 
47;São José 
47;Jardim das Américas 
47;Bela Vista 
50;Novo Horizonte 
50;Santíssima Trindade 
50;Alto Alegre 
50;Centro 
50;Sumaúma 
76;Centro 
76;São Francisco 
76;Santa Etelvina 
82;Centro 
82;São Sebastião 
82;São Francisco 
82;Nossa Senhora de Nazaré 
82;Nossa Senhora Aparecida 
82;Marivá 
82;Morara 
82;Santo Antônio 
83;Centro 
83;São Judas Tadeu 
83;São Benedito 
83;Urbano Novo 
83;Beira Rio 
84;Centro 
84;Coimbra 
84;Colônia 
84;Cohabam 
84;Javarizinho 
84;Umarizal 
84;Bom Jardim 
84;Cidade Nova 
84;Castanhal 
87;Praia do Gado 
87;Platô do Piquiá 
87;Fortaleza 
87;Macaxeiral 
87;Lago Novo 
88;Centro 
88;São Sebastião 
88;Ipiranga 
88;Cristo Rei 
88;Recreio 
91;Centro 
91;Fátima 
91;Samuel Amaral 
91;Nova República 
92;Urbano Centro 
92;Urbano Vista Alegre 
92;Urbano Horizonte 
92;Urbano Industrial 
92;Urbano Sebastião Borges 
94;Do Pera 
94;Chagas Aguiar 
94;Santa Helena 
94;Duque de Caxias 
94;Itamarati 
94;Santa Efigênia 
94;União 
94;Urucu 
94;Espírito Santo 
94;Tauá Mirim 
94;Centro 
96;Centro 
96;Nossa Senhora do Perpétuo Socorro 
96;Santo Antônio 
96;Nossa Senhora Aparecida 
96;Nossa Senhora de Fátima 
96;São José 
100;São Domingos Sávio 
100;Nova Humaitá 
100;São Pedro 
100;São Sebastião 
100;São Francisco 
100;Santo Antônio 
100;Novo Centenário 
100;São José 
100;Centro 
100;São Cristóvão 
100;Nossa Senhora do Carmo 
100;Divino Pranto 
100;Nova Esperança 
103;Centro 
103;Colônia 
103;Jauary 
103;Prainha 
103;Pedreiras 
103;Do Iracy 
103;Santa Luzia 
103;São Jorge 
103;Santo Antônio 
103;Araújo Costa 
103;São Cristóvão 
103;São Francisco 
103;Tiradentes 
103;Florestal 
103;da Paz 
103;Eduardo Braga I 
103;Eduardo Braga II 
103;Mamoud Amed 
103;Jauary II 
103;Jardim Adriana 
103;Mutirão 
103;Nogueira Junior 
103;Jardim Lorena 
103;Centenário 
109;Bairro da Fonte 
109;Centro 
109;São José 
109;Barra Limpa 
109;Nossa Senhora de Fátima 
109;Vila Falcão 
109;Pantanal 
109;Bairro Novo 
110;Centro 
110;Aparecida 
110;Biribiri 
110;Liberdade 
110;Morada do Sol 
110;São Francisco 
110;São José 
110;Terra Preta 
110;União 
110;Correnteza 
110;Nova Manacá 
112;Centro 
112;Nossa Senhora Aparecida 
112;Presidente Vargas 
112;Praça 14 de Janeiro 
112;Cachoeirinha 
112;São Raimundo 
112;Glória 
112;Santo Antônio 
112;Vila da Prata 
112;Compensa 
112;São Jorge 
112;Santo Agostinho 
112;Nova Esperança 
112;Lírio do Vale 
112;Planalto 
112;Alvorada 
112;Redenção 
112;Da Paz 
112;Raiz 
112;São Francisco 
112;Petrópolis 
112;Japiim 
112;Coroado 
112;Educandos 
112;Santa Luzia 
112;Morro da Liberdade 
112;Betânia 
112;Colônia Oliveira Machado 
112;São Lázaro 
112;Crespo 
112;Vila Buriti 
112;Distrito Industrial I 
112;Mauazinho 
112;Colônia Antônio Aleixo 
112;Puraquequara 
112;Dom Pedro I 
112;Flores 
112;Parque 10 de Novembro 
112;Aleixo 
112;Adrianópolis 
112;Nossa Senhora das Graças 
112;São Geraldo 
112;Chapada 
112;Colônia Santo Antônio 
112;Novo Israel 
112;Colônia Terra Nova 
112;Santa Etelvina 
112;Monte das Oliveiras 
112;Cidade Nova 
112;Ponta Negra 
112;Tarumã 
112;Armando Mendes 
112;Zumbi dos Palmares 
112;São José Operário 
112;Tancredo Neves 
112;Jorge Teixeira 
112;Distrito Industrial II 
112;Novo Aleixo 
112;Cidade de Deus 
112;Nova Cidade 
112;Gilberto Mestrinho 
112;Lago Azul 
113;Santa Luzia 
113;Dom Bosco 
113;Rocinha 
113;Manicorezinho 
113;Auxiliadora 
113;Mazzarelo 
113;Nossa Senhora do Rosário 
113;São Domingos Sávio 
113;Colônia da Ribeira 
113;Centro 
113;Ipasea 
115;Mário Fonseca 
115;Centro 
115;Ramalho Júnior 
115;Maresia 
115;Santa Luzia 
115;Santa Tereza 
115;Do eden 
115;Donga Michiles 
115;Novo Bairro 
117;Vale do Sol 
117;Santa Maria 
117;Chicolândia 
117;Santa Luzia 
117;Nossa Senhora de Fátima 
117;Aerolândia 
117;Centro 
119;Centro 
119;Dos Trabalhadores 
119;Tv 
119;Japiim 
119;Nossa Senhora da Conceição 
120;Centro 
120;Francesa 
120;Santa Clara 
120;Raimundo Muniz 
120;Santa Rita 
120;Palmares 
120;Nossa Senhora de Nazaré 
120;São Vicente de Paula 
120;Emílio Moreira 
120;Vitória Régia 
120;São Benedito 
120;São José 
120;João Novo 
120;Dejard Vieira 
120;Distrito Industrial 
120;Itaúna I 
120;Jacareacanga 
120;Paulo Corrêa 
120;Itaúna II 
120;Castanheira 
122;Centro 
122;Honório Roldão 
122;Tancredo Neves 
122;Urubuí 
122;José Dutra 
122;Morada do Sol 
122;Sol Nascente 
122;Aida Mendonça 
122;Orquídeas 
122;Galo da Serra 
122;Maruaga 
122;Waimiri 
122;Atroari 
125;Centro 
125;Franco 
125;Independência 
125;Presidente Vargas 
125;Pataquira 
125;Taboca 
125;São Francisco 
125;Alvaro Maia 
125;Planalto 
125;Santa Etelvina 
125;Campina 
125;Tarauacá 
127;Centro 
127;Santa Terezinha 
127;Benjamin Constant 
127;de Campinas 
127;Nosso Senhor do Bonfin 
127;São João 
127;Colônia São Sebastião 
127;José Carlos Mestrinho 
127;União 
129;Centro 
129;Macajatuba 
129;Castanheira 
129;Panorama 
129;Governador Plinio Coelho 
129;Vila Costa 
136;Centro 
136;Aparecida 
136;Livramento 
136;Pedreiras 
136;Liberdade 
136;São Lázaro 
136;Tabocal 
139;Centro 
139;Calunga 
139;São Vicente 
139;Mecejana 
139;São Francisco 
139;Trinta e um de Março 
139;Aparecida 
139;Canarinho 
139;São Pedro 
139;Treze de Setembro 
139;Pricumã 
139;Liberdade 
139;Jardim Floresta 
139;Aeroporto 
139;Dos Estados 
139;Paraviana 
139;Caçari 
139;Buritis 
139;Marechal Rondon 
139;Asa Branca 
139;Cambará 
139;Tancredo Neves 
139;Caimbé 
139;Caranã 
139;Centenário 
139;Governador Aquilino Mota Duarte 
139;Operário 
139;Jardim Tropical 
139;Nova Canaã 
139;Jardim Equatorial 
139;Cauamé 
139;Alvorada 
139;Professora Araceli Souto Maior 
139;Bela Vista 
139;Cinturão Verde 
139;Dr. Silvio Leite 
139;Jardim Primavera 
139;Jóquei Clube 
139;Nova Cidade 
139;Pintolândia 
139;Dr. Silvio Botelho 
139;Santa Luzia 
139;Senador Hélio Campos 
139;Piscicultura 
139;Raiar do Sol 
139;Santa Tereza 
139;União 
139;Jardim Caranã 
139;Cidade Satélite 
139;Olímpico 
139;Doutor Airton Rocha 
139;Laura Moreira 
139;Murilo Teixeira Cidade 
139;5 de Outubro 
139;São Bento 
152;Centro 
152;São José 
152;São Lourenço 
