id_cliente;id_pedido;id_motivo_devolucao;quantidade;dt_devolucao
13803;107875;9;4;21/04/2024
191479;7555;9;4;14/07/2024
166399;218156;7;4;02/03/2024
8635;22641;3;2;03/08/2024
28517;61814;9;1;18/08/2024
48822;306659;3;2;21/05/2024
134098;254567;5;1;25/03/2024
177506;161785;3;4;08/05/2024
92758;139037;9;4;05/07/2024
20869;176220;4;4;19/03/2024
88407;283619;3;2;21/01/2024
140878;254818;3;5;23/10/2024
184285;54930;8;3;01/05/2024
20160;323891;1;4;10/02/2024
123313;256108;1;3;06/10/2024
47513;22554;9;2;19/10/2024
65194;254765;3;1;28/08/2024
80394;333742;6;4;09/04/2024
5266;119167;5;3;10/11/2024
147099;88448;1;3;02/02/2024
91953;184111;3;5;02/10/2024
101343;204453;8;1;09/07/2024
66448;271090;9;4;20/03/2024
127093;50557;9;5;03/10/2024
94886;121621;9;4;08/05/2024
17295;210780;8;1;24/07/2024
139605;31081;6;3;01/08/2024
8798;223266;8;5;07/01/2024
1069;8790;2;5;18/08/2024
19477;56005;5;3;16/07/2024
13188;80717;3;4;06/09/2024
25302;348674;3;5;21/07/2024
171194;135027;4;1;02/08/2024
182097;224021;4;1;08/03/2024
99050;32276;2;4;30/04/2024
126121;194777;5;3;28/08/2024
60659;70373;7;4;20/07/2024
66453;263553;8;3;07/01/2024
67160;23637;9;3;22/03/2024
147499;192888;1;4;26/03/2024
25691;6113;1;1;09/10/2024
145719;90489;1;4;18/08/2024
32791;193084;3;5;05/07/2024
102664;66257;5;4;21/10/2024
161329;81712;1;3;02/03/2024
169919;308828;3;3;29/05/2024
184369;331075;3;5;05/11/2024
178239;124837;1;5;12/04/2024
158779;212993;3;4;13/07/2024
152129;311718;5;3;29/08/2024
163891;233028;9;2;29/01/2024
24637;48498;7;5;10/09/2024
189438;300479;7;4;08/02/2024
140184;162162;4;3;11/10/2024
30655;2736;2;5;23/05/2024
192992;188142;3;4;07/07/2024
120668;105193;6;3;18/02/2024
72141;2082;2;4;25/09/2024
144080;165515;5;1;29/03/2024
34773;202750;1;3;06/06/2024
37466;269548;2;5;01/06/2024
49420;323239;4;1;31/03/2024
97838;103612;2;3;15/06/2024
161618;244101;1;5;23/01/2024
118720;7686;6;2;23/06/2024
7828;286853;6;2;10/05/2024
12011;236750;8;4;05/11/2024
59628;43475;6;4;06/11/2024
10506;106146;8;2;05/04/2024
1719;246886;9;1;28/10/2024
42480;173391;9;3;19/10/2024
30642;268131;6;1;04/11/2024
143236;109284;7;4;04/06/2024
104632;23183;9;1;02/07/2024
170371;270847;8;2;19/05/2024
136853;133771;6;4;26/10/2024
179887;292320;5;2;23/05/2024
70449;20194;4;5;09/07/2024
107807;323976;6;4;23/02/2024
50484;151778;3;2;09/05/2024
19393;234442;3;4;05/03/2024
31481;326781;4;1;19/02/2024
84524;104653;9;2;30/07/2024
147326;189899;3;5;11/06/2024
37643;180212;5;3;02/02/2024
186450;223484;9;2;01/01/2024
181413;159086;8;3;12/05/2024
88029;206197;4;2;29/08/2024
10578;306676;3;3;08/09/2024
21424;193045;9;4;19/09/2024
72899;82137;4;4;23/09/2024
131944;325538;1;3;21/08/2024
127143;111012;3;1;07/02/2024
46542;44060;6;2;24/06/2024
183835;5462;7;2;08/11/2024
51000;44502;6;5;18/02/2024
113921;336166;3;2;31/05/2024
89853;201807;6;5;14/03/2024
69703;64138;4;3;03/05/2024
11873;303240;3;3;23/10/2024
127084;59109;8;4;25/04/2024
137008;40317;2;4;04/07/2024
35415;311080;4;4;04/06/2024
17606;28244;6;4;02/09/2024
132762;86632;2;2;24/07/2024
42374;85463;1;1;12/11/2024
134960;204923;5;1;19/09/2024
77777;239267;6;4;15/09/2024
166279;309368;1;4;05/11/2024
119577;326247;7;5;15/09/2024
114047;307621;8;5;25/09/2024
125619;118870;6;2;10/01/2024
150968;52623;8;2;01/06/2024
64669;200795;7;5;30/03/2024
97780;66214;6;4;10/09/2024
137617;317665;5;2;24/03/2024
166416;335963;3;1;08/03/2024
154790;58110;1;5;15/05/2024
6962;236338;4;4;05/02/2024
48889;194781;4;2;27/06/2024
146204;259646;4;3;28/06/2024
81801;283427;8;4;17/07/2024
65470;277213;3;2;02/03/2024
60803;126565;3;5;28/03/2024
37373;261166;9;1;16/07/2024
48798;264016;4;4;01/07/2024
107268;338945;2;3;06/03/2024
16328;216873;7;5;06/10/2024
62191;180474;3;2;06/08/2024
158321;146108;2;2;02/11/2024
71205;73893;1;4;17/10/2024
157849;133371;9;2;02/11/2024
162376;48111;3;1;26/07/2024
155640;98781;6;3;13/03/2024
86367;335480;6;1;05/10/2024
107703;303572;9;4;24/01/2024
14752;218982;6;4;23/02/2024
50989;13030;7;5;02/04/2024
88748;325432;9;4;02/03/2024
191284;60378;8;2;26/09/2024
189105;267167;5;4;09/03/2024
141826;143373;1;4;02/04/2024
3259;205088;8;5;08/07/2024
175332;236216;9;3;21/01/2024
274;330508;7;3;25/06/2024
9194;180332;2;2;29/10/2024
13930;194314;9;1;07/08/2024
49978;183396;7;1;22/01/2024
166890;118431;7;5;05/10/2024
46037;152057;5;5;02/09/2024
127896;305325;3;4;10/01/2024
90334;312402;5;3;15/02/2024
121961;159314;1;1;01/01/2024
173371;198450;2;1;25/04/2024
167467;95261;2;4;23/10/2024
148649;132765;2;4;21/02/2024
23301;309220;9;4;12/02/2024
61031;174495;4;5;15/04/2024
82627;282202;6;1;14/02/2024
96986;227367;4;4;13/02/2024
75275;88102;8;3;10/11/2024
47520;223040;1;2;26/05/2024
155325;307819;6;1;04/05/2024
99947;242774;2;3;12/02/2024
109030;292955;5;3;04/08/2024
22603;111837;1;2;25/02/2024
137653;336817;6;2;26/09/2024
131743;64746;8;2;01/05/2024
153785;255098;5;4;13/11/2024
144429;303302;6;2;23/06/2024
137834;311836;9;5;07/02/2024
106664;46419;1;3;17/02/2024
4554;32771;3;4;11/09/2024
34868;62060;2;2;07/11/2024
154127;149190;3;1;04/03/2024
7129;94559;3;1;13/08/2024
179595;312733;7;5;23/06/2024
142820;222236;2;2;06/04/2024
8107;32660;3;1;05/06/2024
141218;232557;7;4;30/07/2024
3763;223346;4;1;15/09/2024
94552;239748;4;1;18/02/2024
170303;320220;4;5;04/07/2024
98380;320340;1;2;16/08/2024
128727;184598;7;4;01/09/2024
112264;7501;7;1;06/04/2024
190556;327570;5;2;30/10/2024
130998;259335;4;4;06/11/2024
157160;38222;8;5;23/02/2024
74961;285840;7;1;11/08/2024
63767;274611;3;5;25/01/2024
137295;238772;7;5;18/05/2024
132997;67335;8;1;13/07/2024
133338;57425;8;4;14/11/2024
119002;336086;7;1;30/08/2024
183925;198043;1;4;05/07/2024
20414;325605;2;4;30/10/2024
154503;173124;9;1;05/04/2024
118349;100549;3;4;23/10/2024
54631;241253;3;3;09/09/2024
1060;73718;7;5;29/01/2024
98796;22654;6;5;18/10/2024
40368;67552;8;2;04/03/2024
103675;222388;6;2;06/08/2024
112245;130175;3;4;24/08/2024
194544;57896;9;5;05/09/2024
124234;129550;1;1;08/07/2024
112814;238263;3;4;28/01/2024
194499;134008;5;5;04/08/2024
132577;32607;9;2;03/03/2024
106192;329673;3;4;06/06/2024
